GAME_ID,GAME_DATE_EST,HOME_TEAM_ID,VISITOR_TEAM_ID,PTS_home,PTS_away,AST_home,AST_away,REB_home,REB_away,FG_PCT_home,FG_PCT_away,FG3_PCT_home,FG3_PCT_away,FT_PCT_home,FT_PCT_away,IS_HOME,GSW_WIN,GSW_AST,GSW_REB,GSW_FG_PCT,GSW_FG3_PCT,GSW_FT_PCT
22200002,2022-10-18,1610612744,1610612747,123.0,109.0,31.0,23.0,48.0,48.0,0.455,0.426,0.356,0.25,0.739,0.76,True,True,31.0,48.0,0.455,0.356,0.739
12200069,2022-10-14,1610612744,1610612743,112.0,119.0,33.0,28.0,41.0,44.0,0.435,0.507,0.238,0.29,0.846,0.829,True,False,33.0,41.0,0.435,0.238,0.846
12200051,2022-10-11,1610612744,1610612757,131.0,98.0,32.0,18.0,49.0,43.0,0.5,0.386,0.405,0.28,0.846,0.73,True,True,32.0,49.0,0.5,0.405,0.846
12200040,2022-10-09,1610612744,1610612747,121.0,124.0,22.0,24.0,45.0,38.0,0.477,0.5,0.333,0.436,0.706,0.944,True,False,22.0,45.0,0.477,0.333,0.706
12200004,2022-10-02,1610612744,1610612764,104.0,95.0,29.0,23.0,47.0,46.0,0.458,0.353,0.41,0.242,0.667,0.9,True,True,29.0,47.0,0.458,0.41,0.667
12200001,2022-09-30,1610612764,1610612744,87.0,96.0,20.0,18.0,44.0,62.0,0.369,0.367,0.171,0.269,0.633,0.775,False,True,18.0,62.0,0.367,0.269,0.775
42100406,2022-06-16,1610612738,1610612744,90.0,103.0,27.0,27.0,41.0,44.0,0.425,0.413,0.393,0.413,0.917,1.0,False,True,27.0,44.0,0.413,0.413,1.0
42100405,2022-06-13,1610612744,1610612738,104.0,94.0,23.0,18.0,39.0,47.0,0.466,0.413,0.225,0.344,0.867,0.677,True,True,23.0,39.0,0.466,0.225,0.867
42100404,2022-06-10,1610612738,1610612744,97.0,107.0,22.0,20.0,42.0,55.0,0.4,0.44,0.395,0.349,0.737,0.8,False,True,20.0,55.0,0.44,0.349,0.8
42100403,2022-06-08,1610612738,1610612744,116.0,100.0,28.0,22.0,47.0,31.0,0.483,0.462,0.371,0.375,0.708,0.867,False,False,22.0,31.0,0.462,0.375,0.867
42100402,2022-06-05,1610612744,1610612738,107.0,88.0,25.0,24.0,42.0,43.0,0.453,0.375,0.405,0.405,0.7,0.765,True,True,25.0,42.0,0.453,0.405,0.7
42100401,2022-06-02,1610612744,1610612738,108.0,120.0,24.0,33.0,39.0,39.0,0.443,0.506,0.422,0.512,0.733,0.813,True,False,24.0,39.0,0.443,0.422,0.733
42100315,2022-05-26,1610612744,1610612742,120.0,110.0,36.0,22.0,51.0,34.0,0.511,0.451,0.389,0.405,1.0,0.76,True,True,36.0,51.0,0.511,0.389,1.0
42100314,2022-05-24,1610612742,1610612744,119.0,109.0,30.0,26.0,45.0,42.0,0.5,0.488,0.465,0.357,0.773,0.654,False,False,26.0,42.0,0.488,0.357,0.654
42100313,2022-05-22,1610612742,1610612744,100.0,109.0,18.0,28.0,33.0,47.0,0.4,0.469,0.289,0.344,0.794,0.88,False,True,28.0,47.0,0.469,0.344,0.88
42100312,2022-05-20,1610612744,1610612742,126.0,117.0,33.0,22.0,43.0,30.0,0.561,0.474,0.5,0.467,0.8,0.759,True,True,33.0,43.0,0.561,0.5,0.8
42100311,2022-05-18,1610612744,1610612742,112.0,87.0,24.0,14.0,51.0,35.0,0.561,0.36,0.345,0.229,0.625,0.667,True,True,24.0,51.0,0.561,0.345,0.625
42100236,2022-05-13,1610612744,1610612763,110.0,96.0,24.0,21.0,70.0,44.0,0.394,0.354,0.377,0.417,0.727,0.65,True,True,24.0,70.0,0.394,0.377,0.727
42100235,2022-05-11,1610612763,1610612744,134.0,95.0,37.0,22.0,55.0,37.0,0.475,0.45,0.439,0.359,0.733,0.692,False,False,22.0,37.0,0.45,0.359,0.692
42100234,2022-05-09,1610612744,1610612763,101.0,98.0,25.0,25.0,54.0,48.0,0.4,0.417,0.243,0.257,0.909,0.6,True,True,25.0,54.0,0.4,0.243,0.909
42100233,2022-05-07,1610612744,1610612763,142.0,112.0,34.0,21.0,38.0,30.0,0.624,0.435,0.531,0.372,0.905,0.762,True,True,34.0,38.0,0.624,0.531,0.905
42100232,2022-05-03,1610612763,1610612744,106.0,101.0,17.0,27.0,49.0,52.0,0.396,0.421,0.311,0.184,0.952,0.778,False,False,27.0,52.0,0.421,0.184,0.778
